,exercise_name,num_reps
1839,Band Pull-Down Row,20
1840,Biceps Curl (band),20
1841,Butterfly Sit-up,25
1842,Chest Press (rack),15
1843,Crunch,29
1844,Device on Table,-1
1845,Dumbbell Squat (hands at side),27
1846,Dynamic Stretch (at your own pace),-1
1847,Elliptical machine,-1
1848,Fast Alternating Punches,-1
1849,Jump Rope,-1
1850,Kettlebell Swing,21
1851,Lateral Raise,15
1852,Lawnmower (left arm),20
1853,Lawnmower (right arm),20
1854,Medicine Ball Slam,21
1855,Non-Exercise,-1
1856,Repetitive Stretching,-1
1857,Rowing machine,-1
1858,Running (treadmill),-1
1859,Russian Twist,25
1860,Seated Back Fly,15
1861,Squat (hands behind head),19
1862,Squat (kettlebell / goblet),20
1863,Squat Rack Shoulder Press,15
1864,Static Stretch (at your own pace),-1
1865,Tap Left Device,-1
1866,Tap Right Device,-1
1867,Triceps extension (lying down),18
1868,Wall Ball,23
1869,Wall Squat,-1
1870,Band Pull-Down Row,19
1871,Biceps Curl (band),22
1872,Device on Table,-1
1873,Elliptical machine,-1
1874,Non-Exercise,-1
1875,Rowing machine,-1
1876,Tap Left Device,-1
1877,Tap Right Device,-1
1878,Triceps extension (lying down),15
1879,Wall Ball,23
1880,Butterfly Sit-up,16
1881,Crunch,23
1882,Device on Table,-1
1883,Dumbbell Squat (hands at side),25
1884,Dynamic Stretch (at your own pace),-1
1885,Fast Alternating Punches,-1
1886,Jump Rope,-1
1887,Kettlebell Swing,14
1888,Lateral Raise,14
1889,Non-Exercise,-1
1890,Russian Twist,22
1891,Seated Back Fly,17
1892,Squat Rack Shoulder Press,12
1893,Static Stretch (at your own pace),-1
1894,Tap Left Device,-1
1895,Tap Right Device,-1
1896,Wall Squat,-1
1897,Band Pull-Down Row,20
1898,Biceps Curl (band),20
1899,Chest Press (rack),20
1900,Device on Table,-1
1901,Elliptical machine,-1
1902,Lawnmower (left arm),15
1903,Lawnmower (right arm),10
1904,Medicine Ball Slam,20
1905,Non-Exercise,-1
1906,Repetitive Stretching,-1
1907,Rowing machine,-1
1908,Running (treadmill),-1
1909,Squat (hands behind head),20
1910,Squat (kettlebell / goblet),20
1911,Tap Left Device,-1
1912,Tap Right Device,-1
1913,Triceps extension (lying down),20
1914,Wall Ball,22
1915,Alternating Dumbbell Curl,20
1916,Arm Band Adjustment,-1
1917,Band Pull-Down Row,20
1918,Biceps Curl (band),21
1919,Chest Press (rack),20
1920,Device on Table,-1
1921,Elliptical machine,-1
1922,Lawnmower (left arm),18
1923,Lawnmower (right arm),19
1924,Medicine Ball Slam,19
1925,Non-Exercise,-1
1926,Rest,-1
1927,Rowing machine,-1
1928,Running (treadmill),-1
1929,Squat (hands behind head),20
1930,Squat (kettlebell / goblet),18
1931,Tap Left Device,-1
1932,Tap Right Device,-1
1933,Triceps extension (lying down),16
1934,Wall Ball,22
1935,Butterfly Sit-up,25
1936,Crunch,30
1937,Device on Table,-1
1938,Dumbbell Squat (hands at side),20
1939,Dynamic Stretch (at your own pace),-1
1940,Fast Alternating Punches,100
1941,Jump Rope,-1
1942,Kettlebell Swing,20
1943,Lateral Raise,15
1944,Non-Exercise,-1
1945,Russian Twist,40
1946,Seated Back Fly,15
1947,Squat Rack Shoulder Press,15
1948,Static Stretch (at your own pace),-1
1949,Tap Left Device,-1
1950,Tap Right Device,-1
1951,Wall Squat,-1
1952,Arm Band Adjustment,-1
1953,Band Pull-Down Row,20
1954,Biceps Curl (band),25
1955,Chest Press (rack),15
1956,Device on Table,-1
1957,Elliptical machine,-1
1958,Lawnmower (left arm),10
1959,Lawnmower (right arm),13
1960,Medicine Ball Slam,15
1961,Non-Exercise,-1
1962,Rest,-1
1963,Rowing machine,-1
1964,Running (treadmill),-1
1965,Squat (hands behind head),12
1966,Squat (kettlebell / goblet),11
1967,Tap Left Device,-1
1968,Tap Right Device,-1
1969,Triceps extension (lying down),1
1970,Triceps extension (lying down) (left arm),8
1971,Triceps extension (lying down) (right arm),8
1972,Wall Ball,9
1973,Device on Table,-1
1974,Dip,15
1975,Dumbbell Row (knee on bench) (left arm),12
1976,Dumbbell Row (knee on bench) (right arm),12
1977,Non-Exercise,-1
1978,Pushup (knee or foot variation),11
1979,Static stretch,-1
1980,Tap Left Device,-1
1981,Tap Right Device,-1
1982,Triceps Kickback (knee on bench) (left arm),12
1983,Triceps Kickback (knee on bench) (right arm),10
1984,"Two-arm Dumbbell Curl (both arms, not alternating)",17
1985,Band Pull-Down Row,23
1986,Biceps Curl (band),20
1987,Chest Press (rack),20
1988,Device on Table,-1
1989,Elliptical machine,-1
1990,Lawnmower (left arm),20
1991,Lawnmower (right arm),20
1992,Medicine Ball Slam,20
1993,Non-Exercise,-1
1994,Repetitive Stretching,-1
1995,Rest,-1
1996,Rowing machine,-1
1997,Running (treadmill),-1
1998,Squat (hands behind head),20
1999,Squat (kettlebell / goblet),20
2000,Tap Left Device,-1
2001,Tap Right Device,-1
2002,Triceps extension (lying down),20
2003,Wall Ball,20
2004,Arm Band Adjustment,-1
2005,Band Pull-Down Row,24
2006,Biceps Curl (band),20
2007,Chest Press (rack),21
2008,Device on Table,-1
2009,Elliptical machine,-1
2010,Lawnmower (left arm),15
2011,Lawnmower (right arm),16
2012,Medicine Ball Slam,6
2013,Non-Exercise,-1
2014,Rowing machine,-1
2015,Running (treadmill),-1
2016,Squat (hands behind head),20
2017,Squat (kettlebell / goblet),20
2018,Tap Left Device,-1
2019,Tap Right Device,-1
2020,Triceps extension (lying down),20
2021,Wall Ball,23
2022,Band Pull-Down Row,21
2023,Biceps Curl (band),20
2024,Chest Press (rack),3
2025,Device on Table,-1
2026,Elliptical machine,-1
2027,Lawnmower (left arm),15
2028,Lawnmower (right arm),15
2029,Medicine Ball Slam,15
2030,Non-Exercise,-1
2031,Rowing machine,-1
2032,Running (treadmill),-1
2033,Squat (hands behind head),20
2034,Squat (kettlebell / goblet),20
2035,Tap Left Device,-1
2036,Tap Right Device,-1
2037,Triceps extension (lying down),20
2038,Wall Ball,15
2039,Band Pull-Down Row,21
2040,Biceps Curl (band),21
2041,Chest Press (rack),20
2042,Device on Table,-1
2043,Elliptical machine,-1
2044,Lawnmower (left arm),20
2045,Lawnmower (right arm),20
2046,Medicine Ball Slam,26
2047,Non-Exercise,-1
2048,Rowing machine,-1
2049,Running (treadmill),-1
2050,Squat (hands behind head),20
2051,Squat (kettlebell / goblet),19
2052,Tap Left Device,-1
2053,Tap Right Device,-1
2054,Triceps extension (lying down),20
2055,Wall Ball,24
